CustomerID	WorkOrderID	PaymentID	PaymentListString	PaymentDate	PaymentType	PaymentAmount
4	19	29	9/22/2024 - Visa - $323.05	9/22/2024	Visa	323.05
4	19	30	9/9/2024 - Cash - $495.24	9/9/2024	Cash	495.24
4	20	31	2/10/2024 - Cash - $406.65	2/10/2024	Cash	406.65
4	20	32	3/22/2024 - Debit - $634.08	3/22/2024	Debit	634.08
4	21	33	6/30/2024 - MasterCard - $462.50	6/30/2024	MasterCard	462.5
5	22	34	5/20/2025 - Visa - $575.96	5/20/2025	Visa	575.96
5	22	35	3/2/2025 - Visa - $83.95	3/2/2025	Visa	83.95
5	23	36	11/29/2024 - Visa - $246.53	11/29/2024	Visa	246.53
5	24	37	4/14/2025 - Discover - $475.70	4/14/2025	Discover	475.7
5	25	38	11/27/2023 - AmericanExpress - $460.95	11/27/2023	AmericanExpress	460.95
5	25	39	8/31/2022 - Discover - $164.00	8/31/2022	Discover	164
5	26	40	6/20/2025 - AmericanExpress - $650.98	6/20/2025	AmericanExpress	650.98
5	26	41	4/9/2024 - Check - $362.23	4/9/2024	Check	362.23
5	27	42	4/24/2023 - MasterCard - $135.57	4/24/2023	MasterCard	135.57
5	28	43	3/20/2025 - Visa - $246.26	3/20/2025	Visa	246.26
5	28	44	3/28/2025 - Debit - $325.94	3/28/2025	Debit	325.94
5	29	45	8/24/2024 - MasterCard - $142.09	8/24/2024	MasterCard	142.09
6	30	46	2/6/2025 - Discover - $114.90	2/6/2025	Discover	114.9
6	31	47	6/15/2025 - AmericanExpress - $463.02	6/15/2025	AmericanExpress	463.02
6	31	48	6/11/2025 - AmericanExpress - $539.33	6/11/2025	AmericanExpress	539.33
6	32	49	12/7/2024 - Discover - $365.96	12/7/2024	Discover	365.96
6	33	50	10/9/2024 - MasterCard - $138.72	10/9/2024	MasterCard	138.72
6	34	51	1/23/2023 - Cash - $718.34	1/23/2023	Cash	718.34
6	35	52	11/4/2024 - Discover - $53.94	11/4/2024	Discover	53.94
6	36	53	10/7/2023 - Discover - $547.86	10/7/2023	Discover	547.86
6	36	54	4/2/2024 - Cash - $784.58	4/2/2024	Cash	784.58
7	37	55	1/30/2024 - Cash - $787.66	1/30/2024	Cash	787.66
7	38	56	2/7/2025 - Debit - $75.41	2/7/2025	Debit	75.41
7	39	57	4/16/2024 - Debit - $539.99	4/16/2024	Debit	539.99
7	39	58	5/19/2024 - Check - $468.30	5/19/2024	Check	468.3
8	40	59	3/6/2024 - Visa - $444.45	3/6/2024	Visa	444.45
8	41	60	9/29/2023 - Check - $707.75	9/29/2023	Check	707.75
8	41	61	12/9/2023 - MasterCard - $669.58	12/9/2023	MasterCard	669.58
8	42	62	4/1/2025 - Debit - $144.34	4/1/2025	Debit	144.34
9	43	63	7/14/2024 - Check - $593.78	7/14/2024	Check	593.78
9	44	64	4/16/2025 - MasterCard - $622.24	4/16/2025	MasterCard	622.24
9	45	65	11/27/2023 - AmericanExpress - $498.48	11/27/2023	AmericanExpress	498.48
9	46	66	11/8/2024 - Cash - $614.04	11/8/2024	Cash	614.04
9	47	67	5/7/2024 - Cash - $629.58	5/7/2024	Cash	629.58
9	48	68	4/16/2023 - AmericanExpress - $450.44	4/16/2023	AmericanExpress	450.44
9	48	69	7/1/2023 - Debit - $255.33	7/1/2023	Debit	255.33
9	49	70	5/8/2025 - MasterCard - $467.74	5/8/2025	MasterCard	467.74
9	49	71	2/29/2024 - Debit - $749.01	2/29/2024	Debit	749.01
9	50	72	8/15/2023 - AmericanExpress - $135.72	8/15/2023	AmericanExpress	135.72
10	51	73	9/22/2023 - Cash - $650.04	9/22/2023	Cash	650.04
10	51	74	11/16/2023 - Check - $91.15	11/16/2023	Check	91.15
10	52	75	4/29/2025 - MasterCard - $490.28	4/29/2025	MasterCard	490.28
10	52	76	5/13/2025 - Visa - $122.03	5/13/2025	Visa	122.03
10	53	77	4/28/2025 - Check - $488.69	4/28/2025	Check	488.69
10	53	78	7/3/2025 - AmericanExpress - $343.59	7/3/2025	AmericanExpress	343.59
10	54	79	6/24/2025 - Check - $588.92	6/24/2025	Check	588.92
10	54	80	6/30/2025 - Discover - $292.94	6/30/2025	Discover	292.94
11	55	81	1/17/2025 - Visa - $223.19	1/17/2025	Visa	223.19
11	55	82	2/23/2025 - MasterCard - $721.79	2/23/2025	MasterCard	721.79
11	56	83	6/18/2025 - MasterCard - $756.01	6/18/2025	MasterCard	756.01
11	57	84	2/22/2025 - Discover - $351.89	2/22/2025	Discover	351.89
11	57	85	6/11/2025 - Cash - $580.64	6/11/2025	Cash	580.64
12	58	86	10/24/2024 - Debit - $399.54	10/24/2024	Debit	399.54
12	58	87	5/11/2024 - Discover - $96.52	5/11/2024	Discover	96.52
12	59	88	6/23/2024 - Debit - $126.45	6/23/2024	Debit	126.45
12	60	89	7/9/2025 - Check - $257.01	7/9/2025	Check	257.01
12	61	90	10/25/2024 - Discover - $509.76	10/25/2024	Discover	509.76
13	62	91	6/17/2025 - Debit - $134.44	6/17/2025	Debit	134.44
13	62	92	5/27/2023 - AmericanExpress - $221.14	5/27/2023	AmericanExpress	221.14
13	63	93	6/2/2025 - MasterCard - $270.26	6/2/2025	MasterCard	270.26
13	64	94	1/29/2023 - MasterCard - $587.14	1/29/2023	MasterCard	587.14
13	64	95	4/14/2025 - AmericanExpress - $527.40	4/14/2025	AmericanExpress	527.4
13	65	96	6/10/2025 - Discover - $344.90	6/10/2025	Discover	344.9
13	66	97	5/21/2024 - Debit - $336.36	5/21/2024	Debit	336.36
13	66	98	10/5/2024 - MasterCard - $364.69	10/5/2024	MasterCard	364.69
13	67	99	6/20/2025 - MasterCard - $372.75	6/20/2025	MasterCard	372.75
13	67	100	9/20/2024 - Visa - $214.10	9/20/2024	Visa	214.1
14	68	101	9/18/2024 - MasterCard - $655.21	9/18/2024	MasterCard	655.21
14	68	102	7/22/2024 - Visa - $515.45	7/22/2024	Visa	515.45
14	69	103	8/17/2023 - Discover - $159.70	8/17/2023	Discover	159.7
14	70	104	3/3/2023 - Debit - $415.30	3/3/2023	Debit	415.3
14	71	105	7/3/2025 - MasterCard - $525.45	7/3/2025	MasterCard	525.45
14	71	106	7/9/2025 - Check - $371.27	7/9/2025	Check	371.27
14	72	107	3/8/2025 - Cash - $86.55	3/8/2025	Cash	86.55
14	72	108	5/6/2024 - Debit - $712.93	5/6/2024	Debit	712.93
14	73	109	6/20/2025 - Cash - $282.52	6/20/2025	Cash	282.52
14	74	110	4/25/2025 - Debit - $600.81	4/25/2025	Debit	600.81
14	74	111	4/5/2024 - Debit - $439.13	4/5/2024	Debit	439.13
15	75	112	5/1/2024 - Check - $239.70	5/1/2024	Check	239.7
15	76	113	9/15/2024 - Discover - $344.54	9/15/2024	Discover	344.54
15	76	114	10/9/2024 - Debit - $724.60	10/9/2024	Debit	724.6
15	77	115	6/16/2025 - Debit - $62.17	6/16/2025	Debit	62.17
15	77	116	6/19/2025 - Visa - $778.25	6/19/2025	Visa	778.25
15	78	117	6/9/2024 - Debit - $695.53	6/9/2024	Debit	695.53
15	78	118	6/13/2025 - Check - $705.86	6/13/2025	Check	705.86
15	79	119	6/9/2025 - Discover - $368.15	6/9/2025	Discover	368.15
15	79	120	1/16/2024 - MasterCard - $792.34	1/16/2024	MasterCard	792.34
15	80	121	6/19/2025 - AmericanExpress - $618.58	6/19/2025	AmericanExpress	618.58
16	81	122	4/9/2023 - Check - $436.16	4/9/2023	Check	436.16
16	82	123	9/16/2024 - Check - $503.00	9/16/2024	Check	503
16	82	124	11/8/2024 - Cash - $784.20	11/8/2024	Cash	784.2
16	83	125	7/1/2025 - Check - $773.00	7/1/2025	Check	773
16	83	126	2/8/2025 - AmericanExpress - $761.39	2/8/2025	AmericanExpress	761.39
16	84	127	7/7/2025 - Discover - $615.25	7/7/2025	Discover	615.25
16	84	128	7/8/2025 - Debit - $347.69	7/8/2025	Debit	347.69
16	85	129	11/25/2024 - Visa - $202.96	11/25/2024	Visa	202.96
16	85	130	12/22/2024 - MasterCard - $159.40	12/22/2024	MasterCard	159.4
16	86	131	9/14/2024 - Discover - $686.79	9/14/2024	Discover	686.79
16	86	132	6/27/2025 - Cash - $307.97	6/27/2025	Cash	307.97
17	87	133	4/15/2024 - Visa - $269.44	4/15/2024	Visa	269.44
17	87	134	2/21/2024 - Cash - $364.06	2/21/2024	Cash	364.06
17	88	135	2/27/2025 - Discover - $799.56	2/27/2025	Discover	799.56
17	89	136	10/24/2023 - AmericanExpress - $448.15	10/24/2023	AmericanExpress	448.15
17	90	137	2/3/2025 - Discover - $568.40	2/3/2025	Discover	568.4
17	90	138	4/17/2024 - MasterCard - $720.55	4/17/2024	MasterCard	720.55
17	91	139	10/26/2023 - AmericanExpress - $681.02	10/26/2023	AmericanExpress	681.02
17	92	140	1/5/2025 - AmericanExpress - $293.26	1/5/2025	AmericanExpress	293.26
17	92	141	10/12/2023 - Check - $363.51	10/12/2023	Check	363.51
17	93	142	7/1/2025 - Cash - $331.72	7/1/2025	Cash	331.72
17	94	143	4/16/2025 - MasterCard - $311.64	4/16/2025	MasterCard	311.64
17	95	144	2/27/2025 - Debit - $510.26	2/27/2025	Debit	510.26
17	96	145	11/18/2024 - Cash - $411.93	11/18/2024	Cash	411.93
18	97	146	10/9/2024 - Discover - $711.53	10/9/2024	Discover	711.53
18	98	147	1/14/2025 - AmericanExpress - $740.11	1/14/2025	AmericanExpress	740.11
18	98	148	7/5/2025 - MasterCard - $346.41	7/5/2025	MasterCard	346.41
18	99	149	4/19/2025 - Check - $69.94	4/19/2025	Check	69.94
18	99	150	7/11/2025 - MasterCard - $523.47	7/11/2025	MasterCard	523.47
18	100	151	4/7/2025 - Check - $191.73	4/7/2025	Check	191.73
18	101	152	2/7/2025 - Debit - $779.81	2/7/2025	Debit	779.81
18	102	153	8/25/2024 - Check - $499.81	8/25/2024	Check	499.81
18	102	154	2/10/2024 - AmericanExpress - $294.57	2/10/2024	AmericanExpress	294.57
18	103	155	3/22/2025 - Debit - $81.64	3/22/2025	Debit	81.64
18	103	156	4/1/2025 - MasterCard - $74.92	4/1/2025	MasterCard	74.92
18	104	157	11/29/2023 - MasterCard - $265.09	11/29/2023	MasterCard	265.09
18	105	158	3/26/2025 - MasterCard - $484.11	3/26/2025	MasterCard	484.11
18	106	159	3/25/2025 - AmericanExpress - $576.19	3/25/2025	AmericanExpress	576.19
18	106	160	1/24/2025 - Debit - $91.71	1/24/2025	Debit	91.71
19	107	161	1/19/2025 - Debit - $548.73	1/19/2025	Debit	548.73
19	107	162	5/15/2025 - AmericanExpress - $450.71	5/15/2025	AmericanExpress	450.71
20	108	163	7/6/2025 - Visa - $591.63	7/6/2025	Visa	591.63
20	108	164	6/24/2025 - Check - $188.45	6/24/2025	Check	188.45
20	109	165	9/30/2024 - MasterCard - $732.94	9/30/2024	MasterCard	732.94
20	110	166	4/13/2025 - Check - $170.32	4/13/2025	Check	170.32
20	110	167	4/9/2025 - AmericanExpress - $729.66	4/9/2025	AmericanExpress	729.66
21	111	168	4/17/2024 - MasterCard - $697.15	4/17/2024	MasterCard	697.15
21	112	169	7/17/2023 - Cash - $332.31	7/17/2023	Cash	332.31
21	112	170	4/29/2024 - Check - $145.87	4/29/2024	Check	145.87
21	113	171	4/8/2024 - Discover - $754.85	4/8/2024	Discover	754.85
21	113	172	1/30/2023 - AmericanExpress - $731.86	1/30/2023	AmericanExpress	731.86
21	114	173	5/11/2024 - Visa - $580.89	5/11/2024	Visa	580.89
21	114	174	1/16/2024 - Check - $561.47	1/16/2024	Check	561.47
21	115	175	10/10/2022 - AmericanExpress - $160.07	10/10/2022	AmericanExpress	160.07
21	115	176	9/30/2023 - Check - $109.90	9/30/2023	Check	109.9
21	116	177	5/2/2025 - Visa - $511.83	5/2/2025	Visa	511.83
21	116	178	3/6/2025 - Visa - $324.37	3/6/2025	Visa	324.37
21	117	179	2/1/2025 - Visa - $335.95	2/1/2025	Visa	335.95
21	118	180	6/23/2025 - MasterCard - $416.70	6/23/2025	MasterCard	416.7
21	118	181	2/17/2025 - AmericanExpress - $266.03	2/17/2025	AmericanExpress	266.03
21	119	182	2/1/2025 - Visa - $755.77	2/1/2025	Visa	755.77
21	119	183	3/25/2025 - Cash - $236.38	3/25/2025	Cash	236.38
22	120	184	3/11/2024 - Check - $136.90	3/11/2024	Check	136.9
22	120	185	3/6/2025 - AmericanExpress - $261.55	3/6/2025	AmericanExpress	261.55
23	121	186	10/27/2023 - Visa - $728.47	10/27/2023	Visa	728.47
24	122	187	6/19/2024 - Visa - $705.80	6/19/2024	Visa	705.8
24	122	188	11/5/2024 - Cash - $623.44	11/5/2024	Cash	623.44
24	123	189	5/14/2025 - Discover - $380.47	5/14/2025	Discover	380.47
24	123	190	3/9/2025 - Cash - $549.46	3/9/2025	Cash	549.46
24	124	191	5/30/2025 - Cash - $134.19	5/30/2025	Cash	134.19
24	124	192	6/9/2025 - AmericanExpress - $509.85	6/9/2025	AmericanExpress	509.85
24	125	193	11/23/2023 - Discover - $172.61	11/23/2023	Discover	172.61
24	125	194	5/14/2025 - AmericanExpress - $352.29	5/14/2025	AmericanExpress	352.29
24	126	195	3/17/2025 - MasterCard - $369.82	3/17/2025	MasterCard	369.82
24	126	196	3/7/2025 - Cash - $680.32	3/7/2025	Cash	680.32
24	127	197	7/6/2025 - MasterCard - $111.21	7/6/2025	MasterCard	111.21
24	127	198	5/24/2025 - Debit - $575.08	5/24/2025	Debit	575.08
24	128	199	6/11/2025 - Discover - $144.93	6/11/2025	Discover	144.93
24	128	200	5/24/2025 - Cash - $560.51	5/24/2025	Cash	560.51
24	129	201	3/24/2025 - Cash - $585.18	3/24/2025	Cash	585.18
24	130	202	1/19/2025 - AmericanExpress - $164.68	1/19/2025	AmericanExpress	164.68
25	131	203	1/6/2025 - Discover - $341.14	1/6/2025	Discover	341.14
25	131	204	10/8/2024 - MasterCard - $584.97	10/8/2024	MasterCard	584.97
25	132	205	3/28/2025 - Discover - $359.77	3/28/2025	Discover	359.77
25	133	206	9/29/2024 - Debit - $346.30	9/29/2024	Debit	346.3
25	134	207	7/7/2025 - Debit - $433.09	7/7/2025	Debit	433.09
25	135	208	10/11/2024 - Cash - $391.31	10/11/2024	Cash	391.31
25	135	209	11/7/2024 - Discover - $445.23	11/7/2024	Discover	445.23
25	136	210	6/15/2025 - MasterCard - $551.43	6/15/2025	MasterCard	551.43
25	136	211	5/21/2025 - AmericanExpress - $541.41	5/21/2025	AmericanExpress	541.41
25	137	212	12/30/2024 - Cash - $694.81	12/30/2024	Cash	694.81
25	138	213	5/14/2024 - AmericanExpress - $451.09	5/14/2024	AmericanExpress	451.09
25	138	214	12/5/2024 - MasterCard - $681.14	12/5/2024	MasterCard	681.14
25	139	215	1/6/2025 - Debit - $228.77	1/6/2025	Debit	228.77
25	140	216	7/6/2024 - Debit - $757.03	7/6/2024	Debit	757.03
25	140	217	3/10/2025 - Check - $415.97	3/10/2025	Check	415.97
25	141	218	2/13/2025 - Debit - $63.71	2/13/2025	Debit	63.71
26	142	219	4/14/2025 - Check - $669.48	4/14/2025	Check	669.48
26	143	220	12/31/2024 - Debit - $515.54	12/31/2024	Debit	515.54
26	143	221	2/21/2025 - Visa - $211.17	2/21/2025	Visa	211.17
26	144	222	3/15/2024 - Visa - $780.25	3/15/2024	Visa	780.25
26	144	223	9/6/2024 - Visa - $627.64	9/6/2024	Visa	627.64
26	145	224	7/4/2025 - Visa - $561.79	7/4/2025	Visa	561.79
27	146	225	7/8/2025 - MasterCard - $83.14	7/8/2025	MasterCard	83.14
27	147	226	12/31/2023 - Cash - $609.75	12/31/2023	Cash	609.75
27	148	227	8/10/2024 - AmericanExpress - $278.32	8/10/2024	AmericanExpress	278.32
27	148	228	10/27/2022 - MasterCard - $521.68	10/27/2022	MasterCard	521.68
27	149	229	6/13/2025 - Cash - $554.39	6/13/2025	Cash	554.39
27	149	230	1/25/2025 - Visa - $381.14	1/25/2025	Visa	381.14
27	150	231	7/30/2024 - Check - $719.13	7/30/2024	Check	719.13
27	150	232	3/30/2024 - Check - $560.69	3/30/2024	Check	560.69
27	151	233	5/19/2025 - Cash - $391.73	5/19/2025	Cash	391.73
27	151	234	5/22/2025 - Visa - $194.30	5/22/2025	Visa	194.3
27	152	235	6/13/2024 - Discover - $553.93	6/13/2024	Discover	553.93
27	152	236	1/30/2024 - Discover - $674.87	1/30/2024	Discover	674.87
27	153	237	2/12/2025 - Debit - $678.27	2/12/2025	Debit	678.27
27	153	238	6/20/2025 - Discover - $303.53	6/20/2025	Discover	303.53
27	154	239	9/4/2024 - MasterCard - $247.14	9/4/2024	MasterCard	247.14
27	154	240	12/14/2024 - Debit - $346.56	12/14/2024	Debit	346.56
27	155	241	2/7/2025 - AmericanExpress - $751.82	2/7/2025	AmericanExpress	751.82
28	156	242	11/17/2024 - Visa - $386.03	11/17/2024	Visa	386.03
28	156	243	4/23/2023 - Check - $564.24	4/23/2023	Check	564.24
28	157	244	3/3/2024 - Visa - $526.32	3/3/2024	Visa	526.32
28	157	245	1/11/2025 - Check - $797.44	1/11/2025	Check	797.44
28	158	246	8/19/2023 - AmericanExpress - $112.26	8/19/2023	AmericanExpress	112.26
28	159	247	3/16/2023 - Visa - $240.08	3/16/2023	Visa	240.08
28	159	248	3/6/2023 - Visa - $318.11	3/6/2023	Visa	318.11
28	160	249	1/12/2025 - AmericanExpress - $445.39	1/12/2025	AmericanExpress	445.39
28	160	250	6/25/2025 - Visa - $652.23	6/25/2025	Visa	652.23
28	161	251	5/19/2025 - AmericanExpress - $221.82	5/19/2025	AmericanExpress	221.82
28	162	252	5/19/2024 - Check - $495.79	5/19/2024	Check	495.79
28	163	253	5/31/2025 - MasterCard - $528.67	5/31/2025	MasterCard	528.67
28	164	254	2/3/2024 - Debit - $735.17	2/3/2024	Debit	735.17
29	165	255	6/27/2025 - Cash - $672.84	6/27/2025	Cash	672.84
29	165	256	6/29/2025 - Debit - $436.69	6/29/2025	Debit	436.69
30	166	257	7/15/2023 - Debit - $585.36	7/15/2023	Debit	585.36
30	166	258	4/6/2024 - MasterCard - $334.54	4/6/2024	MasterCard	334.54
30	167	259	5/25/2023 - Visa - $361.58	5/25/2023	Visa	361.58
30	167	260	5/5/2025 - Debit - $134.71	5/5/2025	Debit	134.71
30	168	261	6/23/2025 - Debit - $574.90	6/23/2025	Debit	574.9
30	168	262	7/5/2025 - Visa - $776.11	7/5/2025	Visa	776.11
31	169	263	5/6/2025 - Debit - $475.02	5/6/2025	Debit	475.02
31	169	264	8/16/2024 - Visa - $435.68	8/16/2024	Visa	435.68
31	170	265	11/16/2024 - Debit - $294.58	11/16/2024	Debit	294.58
31	170	266	4/27/2025 - Cash - $782.13	4/27/2025	Cash	782.13
31	171	267	8/2/2024 - Cash - $585.54	8/2/2024	Cash	585.54
31	172	268	9/28/2024 - Visa - $648.81	9/28/2024	Visa	648.81
31	173	269	2/5/2025 - Visa - $440.20	2/5/2025	Visa	440.2
31	173	270	2/14/2025 - Cash - $298.23	2/14/2025	Cash	298.23
31	174	271	3/1/2025 - Cash - $517.59	3/1/2025	Cash	517.59
31	175	272	7/12/2023 - AmericanExpress - $309.48	7/12/2023	AmericanExpress	309.48
31	175	273	9/27/2024 - Cash - $454.21	9/27/2024	Cash	454.21
31	176	274	6/13/2025 - Visa - $625.91	6/13/2025	Visa	625.91
31	176	275	6/9/2025 - MasterCard - $678.30	6/9/2025	MasterCard	678.3
32	177	276	7/2/2025 - Discover - $532.58	7/2/2025	Discover	532.58
32	177	277	5/11/2025 - Discover - $168.89	5/11/2025	Discover	168.89
32	178	278	5/19/2025 - AmericanExpress - $339.89	5/19/2025	AmericanExpress	339.89
32	178	279	6/9/2025 - MasterCard - $225.92	6/9/2025	MasterCard	225.92
32	179	280	6/27/2025 - Debit - $548.65	6/27/2025	Debit	548.65
32	179	281	3/8/2025 - Discover - $513.66	3/8/2025	Discover	513.66
32	180	282	7/1/2024 - MasterCard - $695.74	7/1/2024	MasterCard	695.74
32	181	283	8/5/2023 - MasterCard - $372.86	8/5/2023	MasterCard	372.86
33	182	284	6/7/2025 - Check - $163.26	6/7/2025	Check	163.26
33	182	285	4/30/2024 - Visa - $400.67	4/30/2024	Visa	400.67
33	183	286	6/27/2025 - Cash - $478.17	6/27/2025	Cash	478.17
33	183	287	2/23/2024 - Cash - $561.98	2/23/2024	Cash	561.98
33	184	288	5/31/2023 - Check - $211.46	5/31/2023	Check	211.46
33	185	289	6/25/2025 - Debit - $607.19	6/25/2025	Debit	607.19
33	185	290	1/29/2024 - Visa - $745.69	1/29/2024	Visa	745.69
33	186	291	5/6/2024 - Check - $741.12	5/6/2024	Check	741.12
33	186	292	12/7/2024 - AmericanExpress - $253.28	12/7/2024	AmericanExpress	253.28
33	187	293	4/27/2023 - Discover - $632.69	4/27/2023	Discover	632.69
33	187	294	6/17/2024 - Discover - $298.24	6/17/2024	Discover	298.24
33	188	295	10/27/2024 - MasterCard - $758.87	10/27/2024	MasterCard	758.87
33	188	296	6/28/2025 - Discover - $135.43	6/28/2025	Discover	135.43
33	189	297	4/7/2025 - AmericanExpress - $206.46	4/7/2025	AmericanExpress	206.46
33	189	298	1/7/2025 - Debit - $143.28	1/7/2025	Debit	143.28
33	190	299	3/11/2025 - MasterCard - $709.49	3/11/2025	MasterCard	709.49
33	190	300	3/9/2023 - Visa - $524.37	3/9/2023	Visa	524.37
33	191	301	10/3/2024 - MasterCard - $118.06	10/3/2024	MasterCard	118.06
33	191	302	3/23/2025 - AmericanExpress - $324.76	3/23/2025	AmericanExpress	324.76
33	192	303	4/22/2025 - Cash - $169.10	4/22/2025	Cash	169.1
33	192	304	7/7/2024 - Discover - $473.04	7/7/2024	Discover	473.04
34	193	305	4/9/2025 - Visa - $438.77	4/9/2025	Visa	438.77
34	193	306	6/17/2025 - Debit - $215.59	6/17/2025	Debit	215.59
34	194	307	3/21/2025 - AmericanExpress - $291.51	3/21/2025	AmericanExpress	291.51
35	195	308	3/26/2024 - Debit - $523.29	3/26/2024	Debit	523.29
35	196	309	3/27/2024 - AmericanExpress - $92.67	3/27/2024	AmericanExpress	92.67
35	196	310	7/11/2025 - MasterCard - $343.81	7/11/2025	MasterCard	343.81
36	197	311	7/9/2024 - Visa - $203.54	7/9/2024	Visa	203.54
36	197	312	6/14/2025 - Visa - $79.79	6/14/2025	Visa	79.79
37	198	313	10/29/2023 - AmericanExpress - $310.42	10/29/2023	AmericanExpress	310.42
37	198	314	4/8/2025 - AmericanExpress - $658.28	4/8/2025	AmericanExpress	658.28
37	199	315	3/15/2025 - AmericanExpress - $410.15	3/15/2025	AmericanExpress	410.15
37	200	316	6/21/2025 - Debit - $529.42	6/21/2025	Debit	529.42
37	201	317	4/26/2025 - Discover - $554.94	4/26/2025	Discover	554.94
37	202	318	1/28/2025 - Visa - $700.12	1/28/2025	Visa	700.12
37	203	319	4/22/2025 - Discover - $792.50	4/22/2025	Discover	792.5
37	204	320	3/15/2025 - Visa - $400.00	3/15/2025	Visa	400
37	205	321	11/14/2023 - AmericanExpress - $562.68	11/14/2023	AmericanExpress	562.68
37	205	322	7/22/2024 - Discover - $381.10	7/22/2024	Discover	381.1
37	206	323	5/6/2025 - Visa - $595.80	5/6/2025	Visa	595.8
37	206	324	4/3/2023 - Check - $546.06	4/3/2023	Check	546.06
37	207	325	6/21/2025 - Discover - $75.99	6/21/2025	Discover	75.99
37	207	326	4/20/2025 - Cash - $774.90	4/20/2025	Cash	774.9
37	208	327	4/2/2025 - Debit - $744.07	4/2/2025	Debit	744.07
37	209	328	2/26/2025 - AmericanExpress - $84.03	2/26/2025	AmericanExpress	84.03
37	209	329	10/27/2024 - Discover - $710.98	10/27/2024	Discover	710.98
38	210	330	8/2/2024 - Visa - $165.24	8/2/2024	Visa	165.24
38	210	331	11/28/2024 - Debit - $586.57	11/28/2024	Debit	586.57
38	211	332	4/4/2025 - Cash - $676.50	4/4/2025	Cash	676.5
38	211	333	3/8/2025 - Discover - $557.06	3/8/2025	Discover	557.06
38	212	334	1/1/2025 - Debit - $185.92	1/1/2025	Debit	185.92
38	213	335	5/23/2025 - AmericanExpress - $713.16	5/23/2025	AmericanExpress	713.16
38	214	336	4/5/2025 - MasterCard - $207.92	4/5/2025	MasterCard	207.92
38	215	337	4/4/2025 - MasterCard - $493.12	4/4/2025	MasterCard	493.12
38	216	338	12/3/2023 - Debit - $534.80	12/3/2023	Debit	534.8
38	216	339	6/25/2025 - MasterCard - $337.77	6/25/2025	MasterCard	337.77
38	217	340	9/26/2024 - Discover - $73.00	9/26/2024	Discover	73
38	218	341	7/15/2023 - Debit - $516.40	7/15/2023	Debit	516.4
38	219	342	9/24/2024 - Discover - $333.35	9/24/2024	Discover	333.35
38	219	343	2/25/2025 - Check - $397.31	2/25/2025	Check	397.31
38	220	344	6/5/2025 - Debit - $745.99	6/5/2025	Debit	745.99
38	220	345	2/26/2025 - AmericanExpress - $742.06	2/26/2025	AmericanExpress	742.06
39	221	346	8/23/2024 - Discover - $253.03	8/23/2024	Discover	253.03
39	221	347	5/2/2025 - Debit - $357.37	5/2/2025	Debit	357.37
39	222	348	5/5/2025 - Debit - $744.74	5/5/2025	Debit	744.74
39	222	349	2/21/2025 - Discover - $127.48	2/21/2025	Discover	127.48
39	223	350	5/18/2025 - Discover - $570.36	5/18/2025	Discover	570.36
39	223	351	6/26/2025 - Check - $92.44	6/26/2025	Check	92.44
