CustomerID	WorkOrderID	VehicleID	OrderDate	OrderServiceType	OrderIssueDesc	OrderParts	OrderPartsCost	OrderPartsMarkup	OrderHoursSpent	OrderShopRate	OrderPartsEstimate	OrderHoursEstimate	OrderWhichVehicle	OrderResolution	OrderDiscounts	MilesOnVehicle
9	31	13	8/9/2023	Tires	Generic Tires entry.	Generic Tires entry.	245.88	39.76%	4.1	120	270.47	4.6	Daniel's Car	Tires service completed successfully.	19.35	30524
9	32	13	9/13/2024	Fleet Services	Corporate van requires oil change and tire rotation.	Fleet fluid replacement and standard brake pads	57.56	26.11%	1.9	120	63.32	2.4	Daniel's Car	Fleet Services service completed successfully.	2.17	32364
9	33	13	4/23/2025	Safety	Customer concerned about recall on ABS system.	OEM safety inspection kit	94.13	31.63%	4.2	120	103.54	4.7	Daniel's Car	Safety service completed successfully.	0.19	32896
10	34	14	10/18/2023	Oil/Fluid	Coolant levels dropping faster than expected.	Coolant flush system and antifreeze pack	52.81	52.51%	3.6	120	58.09	4.1	Emily's Van	Oil/Fluid service completed successfully.	20.44	68749
10	35	14	11/30/2024	Safety	Airbag warning light is illuminated on dashboard.	Brake sensor harness and warning light tool	172.58	30.87%	4	120	189.84	4.5	Emily's Van	Safety service completed successfully.	14.19	69347
10	36	14	5/25/2024	Battery/Electrical	Electrical system reset on its own while parked.	Starter relay and alternator belt	154.98	34.75%	3	120	170.48	3.5	Emily's Van	Battery/Electrical service completed successfully.	3.31	72046
10	37	15	9/5/2024	Suspension/Steering	Vehicle leans to one side when turning.	Tie rod ends and sway bar link replacements	454.58	59.83%	3.6	120	500.04	4.1	Emily's Van	Suspension/Steering service completed successfully.	21.51	41581
10	38	15	2/10/2024	Tires	Generic Tires entry.	Generic Tires entry.	369.14	44.69%	4.4	120	406.05	4.9	Emily's Van	Tires service completed successfully.	4.07	43267
11	39	16	9/27/2024	Interior/Upholstery	Generic Interior/Upholstery entry.	Generic Interior/Upholstery entry.	458.43	35.33%	4.7	120	504.27	5.2	Amanda's Truck	Interior/Upholstery service completed successfully.	24.99	16687
11	40	17	5/3/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	446.98	28.89%	4	120	491.68	4.5	Amanda's Car	Glass/Windshield service completed successfully.	18.29	58205
12	41	18	10/11/2024	Diagnostics	Engine occasionally misfires; diagnostic evaluation requested.	Full diagnostic scan and wiring harness testing	485	29.19%	1.9	120	533.5	2.4	Henry's Car	Diagnostics service completed successfully.	2.73	63195
12	42	18	1/13/2024	Interior/Upholstery	Generic Interior/Upholstery entry.	Generic Interior/Upholstery entry.	237.47	26.66%	1.4	120	261.22	1.9	Henry's Car	Interior/Upholstery service completed successfully.	2.72	63965
12	43	19	11/3/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	129.14	46.83%	3.2	120	142.05	3.7	Henry's Truck	Miscellaneous/Other service completed successfully.	6.92	70701
12	44	19	11/18/2024	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	350.87	59.96%	1.3	120	385.96	1.8	Henry's Truck	Body/Paint service completed successfully.	11.71	73011
13	45	20	10/17/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	293.33	47.96%	4.4	120	322.66	4.9	Lisa's Truck	Glass/Windshield service completed successfully.	18.07	16664
13	46	20	10/22/2023	Suspension/Steering	Steering wheel vibrates at highway speeds.	Strut assembly and control arm kit	105.02	29.35%	3.8	120	115.52	4.3	Lisa's Truck	Suspension/Steering service completed successfully.	1.36	17429
13	47	20	6/17/2025	Tires	Generic Tires entry.	Generic Tires entry.	193.41	25.19%	1.7	120	212.75	2.2	Lisa's Truck	Tires service completed successfully.	5.2	18466
13	48	21	4/2/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	312.7	46.78%	3.4	120	343.97	3.9	Lisa's Car	Miscellaneous/Other service completed successfully.	12.35	55133
13	49	21	3/19/2024	Custom/Accessory Install	Generic Custom/Accessory Install entry.	Generic Custom/Accessory Install entry.	374.3	52.78%	2	120	411.73	2.5	Lisa's Car	Custom/Accessory Install service completed successfully.	0.93	56369
14	50	22	10/14/2024	Exhaust/Emissions	Generic Exhaust/Emissions entry.	Generic Exhaust/Emissions entry.	84.51	59.38%	1.6	120	92.96	2.1	Nicole's Truck	Exhaust/Emissions service completed successfully.	7.25	59314
14	51	22	3/3/2025	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	413.61	42.56%	3.2	120	454.97	3.7	Nicole's Truck	Miscellaneous/Other service completed successfully.	2.55	60334
14	52	23	7/7/2025	Repair	Rear window motor not functioning properly.	Window motor assembly and wiring kit	411.25	27.23%	1.8	120	452.38	2.3	Nicole's Van	Repair service completed successfully.	0.79	20570
14	53	23	3/22/2025	Roadside Assistance	Generic Roadside Assistance entry.	Generic Roadside Assistance entry.	447.39	36.27%	3.5	120	492.13	4	Nicole's Van	Roadside Assistance service completed successfully.	23.55	21680
14	54	23	7/28/2024	Maintenance	Generic Maintenance entry.	Generic Maintenance entry.	373.19	34.41%	1.4	120	410.51	1.9	Nicole's Van	Maintenance service completed successfully.	1.57	24483
15	55	24	11/29/2024	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	383.78	42.88%	3.8	120	422.16	4.3	Paul's Truck	Seasonal Prep service completed successfully.	19.6	49806
15	56	24	8/30/2023	Fleet Services	Quarterly fleet maintenance scheduled for company vehicle.	"Oil, filter, rotation pack and maintenance checklist"	314.83	59.12%	3.7	120	346.31	4.2	Paul's Truck	Fleet Services service completed successfully.	1.99	52565
16	57	25	7/25/2023	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	369.4	56.33%	2.9	120	406.34	3.4	Gregory's Van	Seasonal Prep service completed successfully.	23.02	44379
16	58	26	3/5/2025	Brakes	Grinding sound noticed when slowing down from high speeds.	Ceramic brake pad kit and caliper brackets	70.83	43.42%	2	120	77.91	2.5	Gregory's Van	Brakes service completed successfully.	4.3	40796
16	59	26	8/26/2023	Pre-Purchase Inspection	Generic Pre-Purchase Inspection entry.	Generic Pre-Purchase Inspection entry.	366.33	44.44%	4.7	120	402.96	5.2	Gregory's Van	Pre-Purchase Inspection service completed successfully.	5.58	42192
16	60	26	10/2/2023	Diagnostics	Check engine light illuminated after recent fill-up.	Full diagnostic scan and wiring harness testing	173.55	31.94%	1.7	120	190.91	2.2	Gregory's Van	Diagnostics service completed successfully.	27.54	44430
17	61	27	10/28/2023	Fleet Services	Quarterly fleet maintenance scheduled for company vehicle.	Fleet fluid replacement and standard brake pads	285.01	25.23%	3.3	120	313.51	3.8	Madeline's Car	Fleet Services service completed successfully.	10.12	32537
17	62	27	1/12/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	217.19	45.37%	1.7	120	238.91	2.2	Madeline's Car	Miscellaneous/Other service completed successfully.	19.92	34957
17	63	27	4/22/2025	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	379.93	53.07%	4	120	417.92	4.5	Madeline's Car	Seasonal Prep service completed successfully.	20.74	37870
18	64	28	4/19/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	324.48	47.29%	1.6	120	356.93	2.1	Steven's Van	Miscellaneous/Other service completed successfully.	29.14	26816
18	65	28	10/15/2023	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	409.91	46.39%	2.7	120	450.9	3.2	Steven's Van	Body/Paint service completed successfully.	23.1	27945
19	66	29	6/5/2024	Exhaust/Emissions	Generic Exhaust/Emissions entry.	Generic Exhaust/Emissions entry.	329.15	25.18%	3.2	120	362.06	3.7	Kelly's Truck	Exhaust/Emissions service completed successfully.	2.39	58410
19	67	30	9/11/2024	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	117.52	34.10%	1.8	120	129.27	2.3	Kelly's Van	Body/Paint service completed successfully.	7.04	12510
20	68	31	6/5/2025	Roadside Assistance	Generic Roadside Assistance entry.	Generic Roadside Assistance entry.	298.91	51.99%	2.8	120	328.8	3.3	Brian's Van	Roadside Assistance service completed successfully.	19.67	37492
20	69	32	10/15/2023	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	439.9	49.51%	2.9	120	483.89	3.4	Brian's Van	Glass/Windshield service completed successfully.	6.08	19371
20	70	32	1/8/2025	Fleet Services	Fleet unit overdue for DOT compliance check.	"Oil, filter, rotation pack and maintenance checklist"	420.98	39.68%	4.8	120	463.08	5.3	Brian's Van	Fleet Services service completed successfully.	18.87	20377
20	71	32	2/16/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	73.23	56.42%	4.2	120	80.55	4.7	Brian's Van	Glass/Windshield service completed successfully.	7.56	22812
21	72	33	4/22/2025	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	204.57	38.86%	1.2	120	225.03	1.7	Carla's Car	Body/Paint service completed successfully.	1.3	25117
22	73	34	12/21/2024	Safety	Airbag warning light is illuminated on dashboard.	Brake sensor harness and warning light tool	208.37	52.17%	2.9	120	229.21	3.4	Kaitlin's Van	Safety service completed successfully.	16.05	19250
23	74	35	6/8/2024	Tires	Generic Tires entry.	Generic Tires entry.	73.91	35.36%	2.7	120	81.3	3.2	Anna's Car	Tires service completed successfully.	28.59	33539
23	75	35	8/4/2024	Performance Upgrades	Generic Performance Upgrades entry.	Generic Performance Upgrades entry.	135.39	29.05%	1.5	120	148.93	2	Anna's Car	Performance Upgrades service completed successfully.	13.01	35999
23	76	36	10/16/2024	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	320.63	38.16%	1.4	120	352.69	1.9	Anna's Van	Body/Paint service completed successfully.	16.87	27209
23	77	36	1/7/2024	Exhaust/Emissions	Generic Exhaust/Emissions entry.	Generic Exhaust/Emissions entry.	257.35	35.09%	3.4	120	283.09	3.9	Anna's Van	Exhaust/Emissions service completed successfully.	14.15	30167
23	78	36	1/16/2024	Maintenance	Generic Maintenance entry.	Generic Maintenance entry.	397.34	27.26%	1.2	120	437.07	1.7	Anna's Van	Maintenance service completed successfully.	28.15	32803
24	79	37	1/23/2024	Repair	Water leak under driver’s seat after rainstorm.	Replacement exhaust pipe and hangers	62.44	30.85%	3.9	120	68.68	4.4	Christine's Truck	Repair service completed successfully.	1.51	64543
24	80	37	7/7/2025	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	172.02	26.04%	4.4	120	189.22	4.9	Christine's Truck	Miscellaneous/Other service completed successfully.	19.73	65302
24	81	38	10/21/2024	Performance Upgrades	Generic Performance Upgrades entry.	Generic Performance Upgrades entry.	276.35	53.62%	2.6	120	303.99	3.1	Christine's Truck	Performance Upgrades service completed successfully.	5.28	65008
25	82	39	6/1/2024	Battery/Electrical	Electrical system reset on its own while parked.	OEM fuse pack and battery sensor module	96.52	25.76%	4.1	120	106.17	4.6	Kathryn's Van	Battery/Electrical service completed successfully.	15.44	68310
25	83	39	6/10/2025	Performance Upgrades	Generic Performance Upgrades entry.	Generic Performance Upgrades entry.	270.05	27.23%	1.3	120	297.06	1.8	Kathryn's Van	Performance Upgrades service completed successfully.	1.43	69765
25	84	39	6/9/2025	Maintenance	Generic Maintenance entry.	Generic Maintenance entry.	200.23	40.71%	2.5	120	220.25	3	Kathryn's Van	Maintenance service completed successfully.	27.42	70605
26	85	40	2/2/2025	Interior/Upholstery	Generic Interior/Upholstery entry.	Generic Interior/Upholstery entry.	199.17	35.20%	1.3	120	219.09	1.8	Christina's Truck	Interior/Upholstery service completed successfully.	15.63	33189
26	86	40	11/8/2023	Exhaust/Emissions	Generic Exhaust/Emissions entry.	Generic Exhaust/Emissions entry.	64.54	29.93%	3.7	120	70.99	4.2	Christina's Truck	Exhaust/Emissions service completed successfully.	25.43	34887
26	87	41	12/13/2023	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	67.37	37.14%	1.8	120	74.11	2.3	Christina's Van	Body/Paint service completed successfully.	15.11	46323
26	88	41	2/9/2024	Custom/Accessory Install	Generic Custom/Accessory Install entry.	Generic Custom/Accessory Install entry.	136.99	34.97%	2.7	120	150.69	3.2	Christina's Van	Custom/Accessory Install service completed successfully.	26.16	48196
27	89	42	7/13/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	345.64	30.43%	4.8	120	380.2	5.3	Michael's Truck	Glass/Windshield service completed successfully.	15.47	47881
27	90	43	3/25/2025	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	401.11	54.98%	3.7	120	441.22	4.2	Michael's Truck	Miscellaneous/Other service completed successfully.	24.29	74356
28	91	44	5/25/2024	Fleet Services	Fleet unit overdue for DOT compliance check.	"Oil, filter, rotation pack and maintenance checklist"	465.82	37.15%	4.3	120	512.4	4.8	Eric's Van	Fleet Services service completed successfully.	1.29	43011
28	92	44	10/27/2023	Performance Upgrades	Generic Performance Upgrades entry.	Generic Performance Upgrades entry.	319.63	37.76%	1.4	120	351.59	1.9	Eric's Van	Performance Upgrades service completed successfully.	25.78	44170
29	93	45	12/19/2023	Brakes	Brake pedal feels soft; stopping distance increased.	Ceramic brake pad kit and caliper brackets	205.71	40.85%	2.8	120	226.28	3.3	Cassie's Van	Brakes service completed successfully.	17.82	40566
30	94	46	5/6/2024	Glass/Windshield	Generic Glass/Windshield entry.	Generic Glass/Windshield entry.	440.86	38.72%	2.3	120	484.95	2.8	Francis's Van	Glass/Windshield service completed successfully.	8.54	78077
30	95	46	4/30/2025	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	260.98	34.22%	4.1	120	287.08	4.6	Francis's Van	Body/Paint service completed successfully.	3.41	80341
30	96	46	7/9/2024	Tires	Generic Tires entry.	Generic Tires entry.	441.4	46.76%	2.3	120	485.54	2.8	Francis's Van	Tires service completed successfully.	18.35	83043
30	97	47	7/30/2023	Body/Paint	Generic Body/Paint entry.	Generic Body/Paint entry.	210.17	37.83%	1.8	120	231.19	2.3	Francis's Truck	Body/Paint service completed successfully.	20.9	43121
31	98	48	12/3/2023	Suspension/Steering	Clunking noise from front end over bumps.	Strut assembly and control arm kit	255.15	40.16%	4.5	120	280.67	5	Robert's Car	Suspension/Steering service completed successfully.	18.06	39972
31	99	48	10/1/2024	Fleet Services	Corporate van requires oil change and tire rotation.	Fleet fluid replacement and standard brake pads	255.69	27.54%	3.9	120	281.26	4.4	Robert's Car	Fleet Services service completed successfully.	28.32	40878
32	100	49	6/7/2024	Exhaust/Emissions	Generic Exhaust/Emissions entry.	Generic Exhaust/Emissions entry.	371.29	55.25%	1.1	120	408.42	1.6	Stephanie's Truck	Exhaust/Emissions service completed successfully.	8.55	65494
32	101	49	7/16/2024	Tires	Generic Tires entry.	Generic Tires entry.	233.42	53.67%	4.3	120	256.76	4.8	Stephanie's Truck	Tires service completed successfully.	4.85	68151
32	102	49	10/4/2023	Brakes	Brake pedal feels soft; stopping distance increased.	Two-piece rotors and high-performance brake fluid	212.44	44.71%	2.2	120	233.68	2.7	Stephanie's Truck	Brakes service completed successfully.	7.47	70187
32	103	50	11/3/2024	Suspension/Steering	Vehicle leans to one side when turning.	Shock absorber kit and alignment tools	385.03	42.27%	1.6	120	423.53	2.1	Stephanie's Truck	Suspension/Steering service completed successfully.	4.82	10212
32	104	50	8/26/2023	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	237.92	37.82%	2.1	120	261.71	2.6	Stephanie's Truck	Seasonal Prep service completed successfully.	28.84	13124
32	105	50	10/17/2023	Repair	Exhaust pipe rusted through; needs replacement.	OEM seals and interior leak test kit	295.19	47.59%	2.4	120	324.71	2.9	Stephanie's Truck	Repair service completed successfully.	28.73	14218
33	106	51	5/4/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	205.16	37.27%	2.1	120	225.68	2.6	Tonya's Car	Miscellaneous/Other service completed successfully.	4.3	77189
33	107	51	11/19/2023	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	158.99	36.42%	2.1	120	174.89	2.6	Tonya's Car	Miscellaneous/Other service completed successfully.	8.25	80017
33	108	51	9/23/2024	Safety	Customer concerned about recall on ABS system.	Airbag module and seatbelt latch	270.78	29.46%	4.3	120	297.86	4.8	Tonya's Car	Safety service completed successfully.	8.14	80822
34	109	52	10/10/2023	Interior/Upholstery	Generic Interior/Upholstery entry.	Generic Interior/Upholstery entry.	395.21	52.87%	4.5	120	434.73	5	Angela's Truck	Interior/Upholstery service completed successfully.	23.46	74157
34	110	52	8/7/2024	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	251.89	27.79%	1	120	277.08	1.5	Angela's Truck	Seasonal Prep service completed successfully.	9.95	76400
34	111	52	7/2/2024	Safety	Customer concerned about recall on ABS system.	Airbag module and seatbelt latch	203.65	35.37%	3	120	224.02	3.5	Angela's Truck	Safety service completed successfully.	13.23	77963
35	112	53	11/20/2024	Battery/Electrical	Electrical system reset on its own while parked.	OEM fuse pack and battery sensor module	478.63	43.71%	3.2	120	526.49	3.7	Lori's Van	Battery/Electrical service completed successfully.	24.86	63839
35	113	53	8/31/2024	Repair	Exhaust pipe rusted through; needs replacement.	Window motor assembly and wiring kit	463.78	49.64%	3	120	510.16	3.5	Lori's Van	Repair service completed successfully.	5.53	66592
35	114	53	9/15/2024	Diagnostics	Customer noticed sluggish acceleration and increased fuel usage.	OBD-II scanner and engine compression test kit	221.59	39.69%	3.6	120	243.75	4.1	Lori's Van	Diagnostics service completed successfully.	12.71	67544
36	115	54	3/24/2025	Fleet Services	Quarterly fleet maintenance scheduled for company vehicle.	DOT compliance kit and inspection log	481.21	48.09%	2.7	120	529.33	3.2	Michael's Truck	Fleet Services service completed successfully.	19.48	50393
36	116	55	10/15/2024	Repair	Water leak under driver’s seat after rainstorm.	OEM seals and interior leak test kit	480.02	25.38%	4.7	120	528.02	5.2	Michael's Truck	Repair service completed successfully.	13.28	39953
36	117	55	6/19/2024	Oil/Fluid	Transmission fluid shows signs of contamination.	Coolant flush system and antifreeze pack	263.77	30.88%	4.8	120	290.15	5.3	Michael's Truck	Oil/Fluid service completed successfully.	17.26	42159
36	118	55	11/19/2024	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	72.49	28.61%	1.1	120	79.74	1.6	Michael's Truck	Seasonal Prep service completed successfully.	14.29	43516
37	119	56	8/10/2023	Safety	Airbag warning light is illuminated on dashboard.	Brake sensor harness and warning light tool	197.49	28.03%	2.5	120	217.24	3	Daniel's Truck	Safety service completed successfully.	8.76	45980
37	120	56	4/9/2025	Performance Upgrades	Generic Performance Upgrades entry.	Generic Performance Upgrades entry.	102.39	45.81%	2.6	120	112.63	3.1	Daniel's Truck	Performance Upgrades service completed successfully.	3.02	47085
37	121	56	12/8/2024	Pre-Purchase Inspection	Generic Pre-Purchase Inspection entry.	Generic Pre-Purchase Inspection entry.	344.64	55.38%	4.3	120	379.1	4.8	Daniel's Truck	Pre-Purchase Inspection service completed successfully.	17.78	48103
38	122	57	3/27/2024	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	150.11	31.15%	4.3	120	165.12	4.8	Heather's Car	Seasonal Prep service completed successfully.	3.44	28521
38	123	57	8/23/2024	Custom/Accessory Install	Generic Custom/Accessory Install entry.	Generic Custom/Accessory Install entry.	474.12	27.52%	2.6	120	521.53	3.1	Heather's Car	Custom/Accessory Install service completed successfully.	11.3	30251
38	124	57	10/27/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	279.83	49.54%	4.8	120	307.81	5.3	Heather's Car	Miscellaneous/Other service completed successfully.	15.13	32779
38	125	58	6/6/2025	Seasonal Prep	Generic Seasonal Prep entry.	Generic Seasonal Prep entry.	350.11	46.16%	3	120	385.12	3.5	Heather's Car	Seasonal Prep service completed successfully.	21.66	62920
38	126	58	7/5/2024	Battery/Electrical	Car fails to start intermittently; suspected battery issue.	12V AGM battery and terminal kit	346.7	29.15%	2.7	120	381.37	3.2	Heather's Car	Battery/Electrical service completed successfully.	22.14	65815
39	127	59	10/12/2023	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	281.77	31.84%	1.3	120	309.95	1.8	Christine's Car	Miscellaneous/Other service completed successfully.	24.56	70518
39	128	59	11/25/2024	Roadside Assistance	Generic Roadside Assistance entry.	Generic Roadside Assistance entry.	107.8	41.20%	1.7	120	118.58	2.2	Christine's Car	Roadside Assistance service completed successfully.	14.27	73187
39	129	60	8/19/2024	Miscellaneous/Other	Generic Miscellaneous/Other entry.	Generic Miscellaneous/Other entry.	497.89	49.30%	4.2	120	547.68	4.7	Christine's Truck	Miscellaneous/Other service completed successfully.	24.37	70803
